,1,2,3,4,5,6,7,8,9,10,11,12,13,14
PHI,0.268,0.226,0.182,0.625,0.1,,,,,,,,,
PHX,0.12,0.127,0.133,0.091,0.35,0.16,0.013,,,,,,0.961,0.018
BOS,0.156,0.157,0.156,0.244,0.26,0.042,,,,,,,,
LAL,0.197,0.187,0.171,,,,,,,,,,,
MIN,0.089,0.098,0.108,,0.28,0.358,0.083,0.005,,,,,,
NOP,0.064,0.072,0.081,,,0.44,0.302,0.04,0.001,,,,,
DEN,0.061,0.069,0.08,,,,0.602,0.14,0.01,0,,,,
MIL,0.019,0.02,0.026,,,,,0.26,0.325,0.333,0.03,0.002,0,
SAC,,0.011,0.023,0.04,0.01,,,0.255,0.329,0.34,0,,,
TOR,,0.001,0.004,,,,,0.3,0.335,0.327,0.03,0,,
ORL,0.008,0.01,0.011,,,,,,,,0.91,0.062,0.001,
UTA,0.007,0.009,0.01,,,,,,,,,0.936,0.038,0
WAS,0.006,0.007,0.008,,,,,,,,,,,
CHI,0.005,0.006,0.007,,,,,,,,0.03,,,0.982
